EmployeeID,FirstName,LastName,Age,Salary,Location,Email,Hobby
8462,Richard,Gill,30,80311.71,San Jose,richard.gill@awswithchetan.com,Photography
6202,Scott,Macias,30,74676.22,New York,scott.macias@awswithchetan.com,Gaming
9913,Tiffany,Weber,54,93259.53,Chicago,tiffany.weber@awswithchetan.com,Swimming
7079,Donna,Ward,24,84654.87,San Diego,donna.ward@awswithchetan.com,Cycling
5177,Carol,Fowler,58,67240.91,San Diego,carol.fowler@awswithchetan.com,Traveling
9635,Troy,Griffith,47,76572.41,Chicago,troy.griffith@awswithchetan.com,Photography
9889,Jonathan,Garcia,61,87886.69,New York,jonathan.garcia@awswithchetan.com,Painting
6868,Ashley,Goodman,52,69328.88,Philadelphia,ashley.goodman@awswithchetan.com,Cooking
6882,Joy,Bryant,38,98797.45,San Jose,joy.bryant@awswithchetan.com,Painting
9739,Rebecca,Perry,45,108693.94,Los Angeles,rebecca.perry@awswithchetan.com,Traveling
7332,Lauren,Grimes,59,51942.26,Los Angeles,lauren.grimes@awswithchetan.com,Cooking
5984,Megan,Weaver,42,75451.21,San Diego,megan.weaver@awswithchetan.com,Gaming
1083,George,Johnson,35,99640.44,San Diego,george.johnson@awswithchetan.com,Painting
2766,Brian,Shepherd,35,98926.21,Dallas,brian.shepherd@awswithchetan.com,Gardening
7362,Lori,Flowers,46,68153.27,Los Angeles,lori.flowers@awswithchetan.com,Photography
8813,Randall,Vega,38,54364.25,Philadelphia,randall.vega@awswithchetan.com,Painting
2108,Chris,Kim,57,98228.13,San Jose,chris.kim@awswithchetan.com,Traveling
9227,Jane,Palmer,37,49361.43,Phoenix,jane.palmer@awswithchetan.com,Gaming
3962,Angela,Combs,63,116749.06,San Jose,angela.combs@awswithchetan.com,Photography
4153,Aaron,Sanchez,37,107911.52,Dallas,aaron.sanchez@awswithchetan.com,Cooking
3629,Laura,Fernandez,60,118789.96,Chicago,laura.fernandez@awswithchetan.com,Gaming
4133,Natalie,Russell,46,100793.58,San Jose,natalie.russell@awswithchetan.com,Painting
3738,Sheila,Porter,64,99882.33,San Antonio,sheila.porter@awswithchetan.com,Traveling
8555,John,Moore,44,97051.29,San Diego,john.moore@awswithchetan.com,Swimming
7726,Anne,Kennedy,23,111515.67,Philadelphia,anne.kennedy@awswithchetan.com,Gardening
6237,Daniel,Martinez,60,31814.89,Chicago,daniel.martinez@awswithchetan.com,Traveling
2878,Michael,Stanton,63,31680.5,Philadelphia,michael.stanton@awswithchetan.com,Cooking
1076,Richard,Johnson,38,109007.7,Dallas,richard.johnson@awswithchetan.com,Cycling
8443,James,Foster,31,111691.71,Philadelphia,james.foster@awswithchetan.com,Gaming
6895,Jason,Brown,36,41502.02,Phoenix,jason.brown@awswithchetan.com,Reading
4719,Brendan,Carr,40,38347.62,San Antonio,brendan.carr@awswithchetan.com,Reading
8591,Todd,Lamb,37,52802.95,Houston,todd.lamb@awswithchetan.com,Cooking
2496,Amy,Jones,28,33519.09,Phoenix,amy.jones@awswithchetan.com,Traveling
5191,Kristen,Mckay,27,53400.37,Dallas,kristen.mckay@awswithchetan.com,Painting
